time,open,high,low,close
2025-09-12 03:00:00,1.35741,1.35759,1.3568500000000001,1.3572600000000001
2025-09-12 04:00:00,1.3572600000000001,1.35735,1.3556599999999999,1.3557299999999999
2025-09-12 05:00:00,1.3557299999999999,1.3563,1.35556,1.35583
2025-09-12 06:00:00,1.35583,1.35585,1.35538,1.35553
2025-09-12 07:00:00,1.35551,1.35569,1.35523,1.35565
2025-09-12 08:00:00,1.35565,1.35609,1.35523,1.35584
2025-09-12 09:00:00,1.35596,1.3562699999999999,1.3545,1.35568
2025-09-12 10:00:00,1.35568,1.3574899999999999,1.35567,1.35643
2025-09-12 11:00:00,1.35643,1.35643,1.35308,1.35338
2025-09-12 12:00:00,1.35338,1.3548,1.3529900000000001,1.35466
2025-09-12 13:00:00,1.35466,1.35583,1.35456,1.35568
2025-09-12 14:00:00,1.35568,1.35628,1.3547,1.35488
2025-09-12 15:00:00,1.35488,1.35494,1.35243,1.35433
2025-09-12 16:00:00,1.35433,1.35494,1.35377,1.35467
2025-09-12 17:00:00,1.35459,1.35697,1.35459,1.35589
2025-09-12 18:00:00,1.35589,1.35619,1.35436,1.35453
2025-09-12 19:00:00,1.3545099999999999,1.3568500000000001,1.35405,1.35602
2025-09-12 20:00:00,1.35603,1.35683,1.35594,1.35598
2025-09-12 21:00:00,1.35598,1.35709,1.35598,1.35698
2025-09-12 22:00:00,1.35697,1.35703,1.35608,1.35617
2025-09-12 23:00:00,1.35613,1.35619,1.35559,1.35569
2025-09-15 00:00:00,1.35465,1.35615,1.35412,1.3558
2025-09-15 01:00:00,1.35605,1.35617,1.35518,1.3557000000000001
2025-09-15 02:00:00,1.3557000000000001,1.35587,1.35517,1.35527
2025-09-15 03:00:00,1.35526,1.3556,1.35487,1.35559
2025-09-15 04:00:00,1.35559,1.35602,1.35527,1.35587
2025-09-15 05:00:00,1.35588,1.35613,1.35551,1.35598
2025-09-15 06:00:00,1.35598,1.35677,1.35592,1.35649
2025-09-15 07:00:00,1.35649,1.3571,1.35645,1.35673
2025-09-15 08:00:00,1.35674,1.35682,1.35615,1.35616
2025-09-15 09:00:00,1.35619,1.35679,1.3553,1.35626
2025-09-15 10:00:00,1.35626,1.3593899999999999,1.35615,1.35819
2025-09-15 11:00:00,1.35818,1.35992,1.35792,1.3582
2025-09-15 12:00:00,1.3582,1.36005,1.35785,1.35922
2025-09-15 13:00:00,1.3592,1.36133,1.35917,1.36071
2025-09-15 14:00:00,1.36071,1.36195,1.36048,1.3615
2025-09-15 15:00:00,1.36151,1.36199,1.36084,1.36148
2025-09-15 16:00:00,1.36148,1.36177,1.35951,1.3596
2025-09-15 17:00:00,1.35961,1.35962,1.35847,1.35892
2025-09-15 18:00:00,1.35894,1.36074,1.3587099999999999,1.3607
2025-09-15 19:00:00,1.36071,1.36097,1.35945,1.35989
2025-09-15 20:00:00,1.35989,1.36113,1.35945,1.36091
2025-09-15 21:00:00,1.36091,1.36105,1.36001,1.36054
2025-09-15 22:00:00,1.36054,1.36104,1.3604,1.3609200000000001
2025-09-15 23:00:00,1.3609200000000001,1.3611,1.3596300000000001,1.35977
2025-09-16 00:00:00,1.35986,1.36021,1.35944,1.35976
2025-09-16 01:00:00,1.35976,1.36041,1.35976,1.36036
2025-09-16 02:00:00,1.3604,1.36049,1.3601,1.3601
